,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,VWAP,Day_Per_Change,Trend
0,MINDTREE,EQ,2017-05-15,510.6,507.35,515.0,505.9,510.5,509.45,510.39,271952,138800509.75,8261,100362,36.9,2017,5,509.45000000000005,0.0,Slight or No change
1,MINDTREE,EQ,2017-05-16,509.45,507.0,515.85,506.0,511.0,511.3,512.69,207011,106131728.2,5550,82090,39.65,2017,5,510.24958232681854,0.363136716066359,Slight or No change
2,MINDTREE,EQ,2017-05-17,511.3,507.05,519.7,502.75,504.0,506.35,512.1,391401,200437504.6,13341,150098,38.35,2017,5,508.49594772991526,-0.9681204772149399,Slight negative
3,MINDTREE,EQ,2017-05-18,506.35,502.0,516.75,486.0,487.5,492.9,505.6,852336,430937717.05,18513,170919,20.05,2017,5,500.7795794102281,-2.6562654290510634,Negative
4,MINDTREE,EQ,2017-05-19,492.9,491.95,502.95,489.5,495.15,497.5,496.43,352273,174878151.5,8326,57853,16.42,2017,5,500.2227975737515,0.9332521809697791,Slight positive
5,MINDTREE,EQ,2017-05-22,497.5,499.95,511.85,497.1,501.55,502.35,504.78,399974,201899898.35,9779,107089,26.77,2017,5,500.5665728801465,0.9748743718593023,Slight positive
6,MINDTREE,EQ,2017-05-23,502.35,504.0,507.45,491.0,498.0,501.15,498.72,452893,225866353.65,8567,198703,43.87,2017,5,500.65682031805017,-0.23887727679905435,Slight or No change
7,MINDTREE,EQ,2017-05-24,501.15,502.0,515.0,494.05,511.95,509.95,506.72,823967,417521056.9,15083,351179,42.62,2017,5,502.6977764181366,1.7559612890352128,Positive
8,MINDTREE,EQ,2017-05-25,509.95,513.7,549.5,508.45,542.5,543.9,532.14,1632427,868682873.0,25072,693340,42.47,2017,5,515.1897339064387,6.657515442690465,Among top gainers
9,MINDTREE,EQ,2017-05-26,543.9,540.0,544.0,532.0,533.45,535.2,537.15,461613,247953805.9,12606,113087,24.5,2017,5,516.7698298210678,-1.5995587424158741,Negative
10,MINDTREE,EQ,2017-05-29,535.2,532.5,552.05,521.6,529.15,530.55,535.83,718355,384914121.1,19256,173854,24.2,2017,5,518.2778660071704,-0.8688340807175066,Slight negative
11,MINDTREE,EQ,2017-05-30,530.55,530.55,540.0,524.0,535.6,537.4,535.4,475566,254620399.25,11648,186388,39.19,2017,5,519.5696467554044,1.2911129959475964,Positive
12,MINDTREE,EQ,2017-05-31,537.4,540.0,549.8,534.5,546.05,543.95,543.99,617800,336076783.45,18504,234480,37.95,2017,5,521.536613582798,1.2188314104949916,Positive
13,MINDTREE,EQ,2017-06-01,543.95,545.05,549.0,535.0,538.0,537.4,540.08,504801,272634250.6,18409,182246,36.1,2017,6,522.5176833343359,-1.204154793639134,Negative
14,MINDTREE,EQ,2017-06-02,537.4,537.8,543.8,533.1,539.9,539.9,539.28,312022,168268100.8,6951,139538,44.72,2017,6,523.1576898210149,0.4652028284331866,Slight or No change
15,MINDTREE,EQ,2017-06-05,539.9,540.0,560.0,536.3,555.85,557.45,552.59,960839,530948103.85,34305,367704,38.27,2017,6,526.6498557798803,3.2506019633265604,Among top gainers
16,MINDTREE,EQ,2017-06-06,557.45,560.0,565.9,544.4,546.0,546.7,557.59,931646,519479225.9,28291,241092,25.88,2017,6,528.4517136068763,-1.928424073907975,Negative
17,MINDTREE,EQ,2017-06-07,546.7,549.5,556.1,513.55,534.9,536.9,534.96,957153,512035924.15,18469,250862,26.21,2017,6,529.1657971425187,-1.7925736235595569,Negative
18,MINDTREE,EQ,2017-06-08,536.9,538.5,546.35,528.0,542.8,543.5,539.33,459527,247838052.8,9138,138735,30.19,2017,6,529.7247925117001,1.2292791953808946,Positive
19,MINDTREE,EQ,2017-06-09,543.5,542.0,542.75,534.15,537.05,538.75,538.62,229279,123494625.55,7087,87478,38.15,2017,6,529.8970491478489,-0.8739650413983391,Slight negative
20,MINDTREE,EQ,2017-06-12,538.75,536.1,544.55,528.05,539.0,539.8,538.19,379066,204010845.35,9623,98241,25.92,2017,6,530.1999786150648,0.19489559164731496,Slight or No change
21,MINDTREE,EQ,2017-06-13,539.8,540.9,542.35,530.2,532.0,531.8,536.98,320855,172291144.95,12246,97230,30.3,2017,6,530.2403612717809,-1.482030381622823,Negative
22,MINDTREE,EQ,2017-06-14,531.8,531.7,536.75,516.45,523.5,523.3,523.37,671432,351407049.65,9066,317335,47.26,2017,6,529.8921906805255,-1.5983452425723965,Negative
23,MINDTREE,EQ,2017-06-15,523.3,521.05,523.75,515.05,515.65,517.85,520.28,210643,109592788.85,5216,66819,31.72,2017,6,529.7056048250986,-1.0414676094018582,Negative
24,MINDTREE,EQ,2017-06-16,517.85,518.05,525.45,511.15,514.9,514.95,518.36,385256,199702494.7,6706,116377,30.21,2017,6,529.2989775063631,-0.5600077242444712,Slight negative
25,MINDTREE,EQ,2017-06-19,514.95,518.7,520.45,511.6,515.2,515.9,516.15,188878,97488450.9,4159,31231,16.54,2017,6,529.1203637492223,0.18448393047867384,Slight or No change
26,MINDTREE,EQ,2017-06-20,515.9,516.0,525.0,516.0,519.05,519.75,520.97,442425,230490111.3,11450,226523,51.2,2017,6,528.8366341942826,0.7462686567164312,Slight positive
27,MINDTREE,EQ,2017-06-21,519.75,517.85,524.0,515.05,519.9,519.6,520.65,414457,215787296.9,14034,188443,45.47,2017,6,528.5818606897834,-0.028860028860022702,Slight or No change
28,MINDTREE,EQ,2017-06-22,519.6,520.0,530.85,518.25,521.05,521.0,525.4,403163,211820055.15,7914,95596,23.71,2017,6,528.3837452111314,0.2694380292532772,Slight or No change
29,MINDTREE,EQ,2017-06-23,521.0,531.95,537.5,525.0,532.0,532.0,531.87,1238632,658793281.85,22835,220177,17.78,2017,6,528.6524820187523,2.111324376199608,Positive
30,MINDTREE,EQ,2017-06-27,532.0,537.0,540.0,516.05,526.05,526.65,528.98,699296,369910443.5,15285,221803,31.72,2017,6,528.571850207561,-1.0056390977443597,Negative
31,MINDTREE,EQ,2017-06-28,526.65,525.0,534.0,520.55,529.95,531.1,529.33,336692,178221369.5,7826,73242,21.75,2017,6,528.6199311836048,0.8449634482103896,Slight positive
32,MINDTREE,EQ,2017-06-29,531.1,548.7,548.7,525.3,527.0,528.7,533.11,2877419,1533985313.85,37587,1395145,48.49,2017,6,528.6311255368958,-0.45189229900206573,Slight or No change
